scenario_id,policy,layout,partner,sticky_action_prob,random_action_prob,num_rollouts,attempts,p_at_least_1_soup,p_group_mean_ge_1,p_group_mean_ge_2,p_group_mean_ge_3,mean_soups,median_soups,p10_soups,official_score_mean,official_score_p10,zero_rate,groups,groups_passed,group_pass_rate,pass_rule,base_points_if_all_groups_pass,output_dir
1,recipe_aware_greedy,asymmetric_advantages,greedy_full_task,0.0,0.0,30,30.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,12211.0,12211.0,0.0,10,10,1.0,any_soup,6,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\revealed_scenarios\recipe_aware_greedy\s1_asymmetric_advantages
2,recipe_aware_greedy,coordination_ring,greedy_full_task,0.1,0.0,30,30.0,0.9,1.0,1.0,0.9,4.9,6.0,0.9000000000000004,49736.9,10821.600000000004,0.1,10,10,1.0,mean_ge_2,9,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\revealed_scenarios\recipe_aware_greedy\s2_coordination_ring
3,recipe_aware_greedy,counter_circuit,greedy_full_task,0.1,0.15,30,30.0,0.9,1.0,1.0,0.9,5.366666666666666,5.0,1.8000000000000007,54149.23333333333,19277.100000000006,0.1,10,10,1.0,mean_ge_2,11,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\revealed_scenarios\recipe_aware_greedy\s3_counter_circuit
