layout,source,layout_file,episodes,mean_soups,median_soups,p_at_least_1_soup,zero_rate,official_score_mean,official_score_p10,min_soups,max_soups,status,notes,output_dir
mdp_test,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\mdp_test
m_room,file,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\configs\layouts\m_room.layout,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\m_room
m_shaped_s,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\m_shaped_s
pipeline,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\pipeline
scenario1_s,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\scenario1_s
scenario2,builtin,,10,6.0,6.0,1.0,0.0,60399.0,60399.0,6.0,6.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\scenario2
scenario2_s,builtin,,10,1.0,1.0,1.0,0.0,12332.0,12332.0,1.0,1.0,LOW,It delivers soups but too slowly; this layout needs layout-specific routing optimization.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\scenario2_s
scenario3,builtin,,10,4.0,4.0,1.0,0.0,41035.0,41035.0,4.0,4.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\scenario3
scenario4,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\scenario4
schelling,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\schelling
schelling_s,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\schelling_s
simple_o,builtin,,10,12.0,12.0,1.0,0.0,120407.0,120407.0,12.0,12.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\simple_o
simple_o_t,builtin,,10,12.0,12.0,1.0,0.0,120407.0,120407.0,12.0,12.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\simple_o_t
simple_tomato,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\simple_tomato
small_corridor,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\small_corridor
soup_coordination,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\soup_coordination
tutorial_0,builtin,,10,18.0,18.0,1.0,0.0,180664.0,180664.0,18.0,18.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\tutorial_0
tutorial_2,builtin,,10,18.0,18.0,1.0,0.0,180664.0,180664.0,18.0,18.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\tutorial_2
tutorial_3,builtin,,10,18.0,18.0,1.0,0.0,180664.0,180664.0,18.0,18.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\tutorial_3
unident,builtin,,10,1.0,1.0,1.0,0.0,12200.0,12200.0,1.0,1.0,LOW,It delivers soups but too slowly; this layout needs layout-specific routing optimization.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\unident
