epoch,train_loss,train_acc,val_loss,val_acc,elapsed_s
1,1.4543470105278158,0.46855833820093457,1.2766007933009755,0.5085090909090909,5.450300931930542
2,1.207050155813449,0.5238755841121495,1.1881384275436402,0.5323636363636364,3.578986406326294
3,1.1296598744169575,0.5458436769859814,1.1677809194738216,0.5309818181818182,3.8036580085754395
4,1.0865380337862212,0.5594607914719626,1.1454460739135741,0.5256727272727273,3.57322096824646
5,1.0582923468585326,0.5677661360981309,1.1253730737339367,0.5548363636363637,3.6082801818847656
6,1.032982561911378,0.5752500730140186,1.132015618202903,0.5403636363636364,3.787663221359253
7,1.0131964349301061,0.5825149678738317,1.1423243873422797,0.5234909090909091,3.6085400581359863
8,0.9954690356677938,0.5876442026869159,1.1186353742772883,0.5418909090909091,3.843111038208008
9,0.9809723011801176,0.5925452686915887,1.1230466792886908,0.5536,3.726801633834839
10,0.9678942472021156,0.5967253212616822,1.1195215348503806,0.5538181818181818,3.7389519214630127
11,0.9552496958558805,0.5995272342289719,1.1301353921370072,0.5368727272727273,3.6629059314727783
12,0.9436011049792031,0.6046017085280374,1.125524636667425,0.5346909090909091,3.569070339202881
13,0.9341924664016082,0.6073762412383178,1.1196703767949885,0.5444363636363636,3.7614738941192627
14,0.9205661574813807,0.6120856454439252,1.1351726641568272,0.5221090909090909,3.7752857208251953
15,0.9120968184738516,0.6140387704439252,1.1263958614002574,0.544,3.7316675186157227
16,0.9032749892952286,0.6170962324766355,1.1224011373173106,0.5539636363636363,3.763965129852295
17,0.8943484233361538,0.6191862587616822,1.1280328202681107,0.5500363636363637,3.699497699737549
18,0.886308283170807,0.6215592143691588,1.1205987334511496,0.5573818181818182,3.5834786891937256
19,0.8784280592036025,0.6239686769859814,1.1222800671490756,0.5568,3.6841256618499756
20,0.8692016281257166,0.6278658002336449,1.1270933371977372,0.5641454545454545,3.6278233528137207
