step,mean_deliveries,zero_delivery_rate,layout_train_coverage3,partners,pg_loss,value_loss,entropy,elapsed_s
2048,0.25,0.75,0,5,-0.016809448250569403,25.217439889907837,1.225069783627987,7.807282447814941
4096,0.5,0.6875,1,5,0.004278052947483957,98.74882793426514,1.2843850329518318,14.140813112258911
6144,0.45,0.7,1,5,-0.0023265618947334588,38.16271948814392,1.377596691250801,21.656439065933228
8192,0.3,0.85,1,5,-0.00520005269208923,62.436686277389526,1.4203241243958473,28.592679023742676
10240,0.6,0.75,2,5,0.0012017880799248815,84.36628031730652,1.3967526778578758,35.19880247116089
12288,0.7,0.7,3,5,-0.006206952850334346,71.00878810882568,1.4390079006552696,41.78456711769104
14336,0.5,0.8,3,5,-0.011524296511197463,10.394451677799225,1.5017838925123215,49.62682485580444
16384,0.4,0.8,3,5,-0.0007418183668050915,54.3416531085968,1.449642613530159,57.34185576438904
18432,0.55,0.8,3,5,-0.005319126532413065,29.28166377544403,1.4540248736739159,64.65790939331055
20480,0.55,0.8,3,5,-0.007328949577640742,37.5740829706192,1.514370709657669,72.31481528282166
22528,0.15,0.85,3,5,-0.00674437265843153,44.0371470451355,1.525338590145111,79.31224751472473
24576,0.4,0.75,4,5,-0.004301340959500521,45.67448854446411,1.4934090748429298,86.8926293849945
26624,0.3,0.85,4,5,-0.011391578358598053,5.4362801015377045,1.56606013327837,94.09247493743896
28672,0.25,0.95,5,5,0.00172900126199238,97.3142626285553,1.5680686011910439,101.84460353851318
30720,0.35,0.85,5,5,-0.008434796298388392,20.263305008411407,1.517699547111988,109.12565279006958
32768,0.2,0.85,5,5,-0.006893956917338073,46.05325698852539,1.5650242194533348,115.78985953330994
34816,0.6,0.8,6,5,0.0012481868034228683,48.553749322891235,1.5810545161366463,123.02332758903503
36864,0.6,0.8,6,5,-0.013228006195276976,8.815844625234604,1.6272592023015022,129.6086699962616
38912,0.25,0.8,6,5,-0.006178256880957633,75.95758104324341,1.586385689675808,136.76067686080933
40960,0.4,0.7,6,5,-0.005208926624618471,60.430901527404785,1.5989761725068092,143.5488796234131
43008,0.4,0.8,7,5,-0.012896924745291471,14.216431140899658,1.5684470310807228,150.99962854385376
45056,0.3,0.85,7,5,-0.007826971588656306,13.486180633306503,1.6481621861457825,158.40648770332336
47104,0.2,0.9,8,5,-0.005374312633648515,57.6491162776947,1.6303634718060493,165.73195576667786
49152,0.2,0.9,8,5,-0.011477795080281794,37.93950295448303,1.6207227036356926,173.56877040863037
51200,0.35,0.85,8,5,-0.012082595669198781,26.505982518196106,1.6384895890951157,181.41866040229797
53248,0.5,0.75,8,5,-0.00741784053388983,88.84609127044678,1.6136298701167107,187.45989537239075
55296,0.6,0.75,8,5,-0.0005298230680637062,112.83518695831299,1.6279942095279694,194.33403205871582
57344,0.5,0.8,8,5,-0.009534138720482588,30.824370622634888,1.6198194548487663,202.00134682655334
59392,0.35,0.85,8,5,-0.009841328370384872,9.80307525396347,1.6526172682642937,209.64037942886353
61440,0.05,0.95,8,5,-0.014208983688149601,12.542384445667267,1.564167633652687,216.53252267837524
63488,0.1,0.9,8,5,-0.009179205517284572,23.111087679862976,1.6313308626413345,223.65436816215515
